Chellow Id,Market Participant Id,Market Participant Name
269,ZLON,HE London Electricity
270,ZMID,HE Midlands Electricity
271,ZNAT,HE National Power
272,ZNEE,HE Northern Electric
273,ZNOR,HE NORWEB
274,ZPGE,HE PowerGen
275,ZSEE,HE SEEBOARD
276,ZSOU,HE Southern Electric plc
277,ZSPO,HE ScottishPower
278,ZSWA,HE South Wales Electricity
279,ZTAR,REA AGENT ONLY (IMServ Europe)
280,ZYEL,HE Yorkshire Electricity
281,ZZAA,Dummy NHHDA for Eastern
282,ZZAB,Dummy NHHDA for East Midlands
283,ZZAC,Dummy NHHDA for London
284,ZZAD,Dummy NHHDA for Manweb
285,ZZAE,Dummy NHHDA for Midlands
286,ZZAF,Dummy NHHDA for Northern
287,ZZAG,Dummy NHHDA for Norweb
288,ZZAH,Dummy NHHDA for Southern
289,ZZAJ,Dummy NHHDA for Seeboard
290,ZZAK,Dummy NHHDA for SWALEC
291,ZZAL,Dummy NHHDA for SWEB
292,ZZAM,Dummy NHHDA for Yorkshire
